Asset,Sector,Expected_Return,Previous_Position,Transaction_Cost,Market_Cap
ASSET_003,CONS,0.3865594574,0,0.04463280661,35.34552993
ASSET_007,HEALTH,-0.1522267252,0,0.04083122473,8.463424508
ASSET_009,CONS,0.023441674,0,0.04435826742,1.908733902
ASSET_010,ENERGY,-0.03073285909,0,0.01744092,5.691906008
ASSET_019,ENERGY,1.528005046,0,0.0401609214,16.2210975
ASSET_022,ENERGY,0.4304081501,0,0.04723229189,12.42691708
ASSET_032,ENERGY,0.6652922004,0,0.03667466642,8.781033434
ASSET_033,TECH,0.5388837048,0,0.04293237719,4.745870862
ASSET_038,TECH,0.115897456,0,0.01967555534,26.89516946
ASSET_039,FIN,0.7823843228,0,0.04644274811,28.46938845
ASSET_041,TECH,-0.1848338868,0,0.03837531868,10.2310965
ASSET_042,ENERGY,0.8060861711,0,0.04795383823,14.33180309
ASSET_043,FIN,0.8167484023,0,0.01125687286,3.107358636
ASSET_046,FIN,-0.8222115109,0,0.04624263543,4.662693961
ASSET_000,ENERGY,0.5895963173,1,0.0141923226,6.625272362
ASSET_001,CONS,-0.3505488782,1,0.02994283198,4.533083617
ASSET_002,HEALTH,0.7651140969,1,0.0254048048,5.646328397
ASSET_004,CONS,0.006763524718,1,0.02903870924,3.108479074
ASSET_005,FIN,-0.379385121,1,0.01443910098,3.599362196
ASSET_006,HEALTH,0.4830564134,1,0.03537696581,3.444749462
ASSET_008,HEALTH,-0.4889696519,1,0.01011525007,1.608487908
ASSET_011,HEALTH,0.2333286393,1,0.03208277459,2.03852102
ASSET_012,CONS,0.111857169,1,0.02663190003,2.211627546
ASSET_013,FIN,0.800446386,1,0.03878615266,2.053881856
ASSET_014,ENERGY,0.5491994707,1,0.02484646459,3.168911935
ASSET_015,FIN,0.1141855824,1,0.04479052707,15.35201148
ASSET_016,ENERGY,-0.2535932901,1,0.03921985444,19.21532151
ASSET_017,CONS,0.7943128632,1,0.03590852684,50.3501145
ASSET_018,TECH,0.5927660622,1,0.04184962382,48.53872139
ASSET_020,FIN,0.3317430201,1,0.011437547,20.64922265
ASSET_021,CONS,1.020885558,1,0.02578937415,8.42414587
ASSET_023,TECH,0.2429617358,1,0.01502897076,51.60419916
ASSET_024,TECH,-0.5549786411,1,0.03948386202,10.71037468
ASSET_025,HEALTH,0.5607512312,1,0.04898367245,23.41176277
ASSET_026,HEALTH,-0.2217099617,1,0.01208794516,2.902720473
ASSET_027,FIN,-0.0566627027,1,0.03728775523,3.795291713
ASSET_028,ENERGY,0.1782315988,1,0.02872616565,10.09529625
ASSET_029,ENERGY,0.06234954488,1,0.03316701021,8.584271814
ASSET_030,HEALTH,-0.5815333973,1,0.01341365346,3.975163235
ASSET_031,ENERGY,-0.1978154961,1,0.01172027807,82.05400138
ASSET_034,HEALTH,0.5492201296,1,0.0412806134,8.598767056
ASSET_035,CONS,0.2868010318,1,0.03175222911,7.579344381
ASSET_036,HEALTH,0.5311422568,1,0.01399467285,8.915599969
ASSET_037,CONS,0.3205610813,1,0.03752177775,1.501227317
ASSET_040,ENERGY,0.07712615629,1,0.04353061438,32.14705267
ASSET_044,FIN,-0.5870776435,1,0.039448017,16.99466258
ASSET_045,TECH,0.5189764716,1,0.02320971117,9.504712297
ASSET_047,CONS,0.7347404431,1,0.02066700787,17.54457336
ASSET_048,FIN,-0.2668814205,1,0.03899425997,18.23693688
ASSET_049,ENERGY,0.5921040938,1,0.04510588079,7.850748171
